abandons, simple present, abandon
rescued, past tense, rescue
researches, simple present, research
researching, present participle, research
researched, past tense, research
researchers, plural form, researcher
reservations, plural form, reservation
reserves, simple present, reserve
reserving, present participle, reserve
reserved, past tense, reserve
residents, plural form, resident
resists, simple present, resist
resisting, present participle, resist
resisted, past tense, resist
resolved, past participle, resolve
resolving, present participle, resolve
resolves, simple present, resolve
resorts, plural form, resort
resources, plural form, resource
resourcing, present participle, resource
resourced, past tense, resource
respects, simple present, respect
respecting, present participle, respect
respected, past tense, respect
responded, past participle, respond
responding, present participle, respond
responds, simple present, respond
responses, plural form, response
responsibilities, plural form, responsibility
rests, plural form, rest
resting, present participle, rest
rested, past tense, rest
restaurants, plural form, restaurant
results, plural form, result
resulted, past participle, result
resulting, present participle, result
retains, simple present, retain
retaining, present participle, retain
retained, past tense, retain
retires, simple present, retire
retiring, present participle, retire
retired, past participle, retire
returns, simple present, return
returning, present participle, return
returned, past tense, return
reveals, simple present, reveal
revealing, present participle, reveal
revealed, past tense, reveal
reviews, plural form, review
reviewed, past participle, review
reviewing, present participle, review
revised, past participle, revise
revising, present participle, revise
revises, simple present, revise
revolutions, plural form, revolution
rewards, plural form, reward
rewarded, past participle, reward
rewarding, present participle, reward
rhythms, plural form, rhythm
riced, past participle, rice
ricing, present participle, rice
rices, simple present, rice
richer, comparative degree, rich
richest, superlative, rich
ridding, present participle, rid
rids, simple present, rid
rides, plural form, ride
riding, present participle, ride
rode, past tense, ride
ridden, past participle, ride
rights, simple present, right
righting, present participle, right
righted, past tense, right
rings, plural form, ring
ringed, past participle, ring
ringing, present participle, ring
rang, past tense, ring
rose, past tense, rise
risen, past participle, rise
rising, present participle, rise
rises, simple present, rise
risks, plural form, risk
risked, past participle, risk
risking, present participle, risk
rivers, plural form, river
roads, plural form, road
robots, plural form, robot
rocks, plural form, rock
rocked, past tense, rock
rocking, present participle, rock
roles, plural form, role
rolled, past participle, roll
rolling, present participle, roll
rolls, simple present, roll
romantics, plural form, romantic
roofs, plural form, roof
roofed, past participle, roof
roofing, present participle, roof
rooms, simple present, room
rooming, present participle, room
roomed, past tense, room
rooted, past participle, root
rooting, present participle, root
roots, simple present, root
ropes, plural form, rope
roping, present participle, rope
roped, past participle, rope
roughs, plural form, rough
rougher, comparative degree, rough
roughest, superlative, rough
roughed, past participle, rough
roughing, present participle, rough
rounded, past tense, round
rounding, present participle, round
rounds, simple present, round
routes, plural form, route
routed, past participle, route
routing, present participle, route
routeing, present participle, route
routines, plural form, routine
rows, plural form, row
rowing, present participle, row
rowed, past tense, row
royals, plural form, royal
rubs, plural form, rub
rubbing, present participle, rub
rubbed, past participle, rub
rubbers, plural form, rubber
rubbishes, simple present, rubbish
rubbishing, present participle, rubbish
rubbished, past participle, rubbish
ruder, comparative degree, rude
rudest, superlative, rude
rules, plural form, rule
ruling, present participle, rule
ruled, past tense, rule
runs, simple present, run
running, present participle, run
ran, past tense, run
runners, plural form, runner
rushes, simple present, rush
rushing, present participle, rush
rushed, past participle, rush
sadder, comparative degree, sad
saddest, superlative, sad
safes, plural form, safe
safer, comparative degree, safe
safest, superlative, safe
safeties, plural form, safety
sails, simple present, sail
sailing, present participle, sail
sailed, past tense, sail
sailings, plural form, sailing
sailors, plural form, sailor
salads, plural form, salad
salaries, plural form, salary
sales, plural form, sale
salts, simple present, salt
salting, present participle, salt
salted, past tense, salt
samples, plural form, sample
sampling, present participle, sample
sampled, past participle, sample
sanded, past participle, sand
sanding, present participle, sand
sands, simple present, sand
sandwiches, plural form, sandwich
sandwiched, past participle, sandwich
sandwiching, present participle, sandwich
satellites, plural form, satellite
satisfied, past participle, satisfy
satisfying, present participle, satisfy
satisfies, simple present, satisfy
saturdays, plural form, saturday
sauces, simple present, sauce
saucing, present participle, sauce
sauced, past participle, sauce
saved, past participle, save
saving, present participle, save
saves, simple present, save
savings, plural form, saving
says, simple present, say
saying, present participle, say
said, past tense, say
scales, plural form, scale
scaled, past participle, scale
scaling, present participle, scale
scans, simple present, scan
scanning, present participle, scan
scanned, past participle, scan
scarier, comparative degree, scary
scariest, superlative, scary
scenes, plural form, scene
schedules, plural form, schedule
scheduling, present participle, schedule
scheduled, past participle, schedule
schemes, plural form, scheme
scheming, present participle, scheme
schemed, past participle, scheme
schools, simple present, school
schooling, present participle, school
schooled, past tense, school
sciences, plural form, science
scientists, plural form, scientist
scores, plural form, score
scored, past participle, score
scoring, present participle, score
screams, plural form, scream
screaming, present participle, scream
screamed, past participle, scream
screens, simple present, screen
screening, present participle, screen
screened, past tense, screen
scripts, simple present, script
scripting, present participle, script
scripted, past tense, script
sculptures, plural form, sculpture
seas, plural form, sea
searches, simple present, search
searching, present participle, search
searched, past tense, search
seasons, simple present, season
seasoning, present participle, season
seasoned, past tense, season
seats, simple present, seat
seating, present participle, seat
seated, past tense, seat
seconds, plural form, second
seconded, past participle, second
seconding, present participle, second
secondaries, plural form, secondary
secrets, plural form, secret
secretaries, plural form, secretary
sections, plural form, section
sectioned, past participle, section
sectioning, present participle, section
sectors, plural form, sector
sectored, past participle, sector
sectoring, present participle, sector
secured, past participle, secure
securing, present participle, secure
secures, simple present, secure
securities, plural form, security
saw, past tense, see
seen, past participle, see
seeing, present participle, see
sees, simple present, see
seeds, plural form, seed
seeded, past participle, seed
seeding, present participle, seed
seeks, simple present, seek
seeking, present participle, seek
sought, past tense, seek
seems, simple present, seem
seeming, present participle, seem
seemed, past participle, seem
selected, past participle, select
selecting, present participle, select
selects, simple present, select
selections, plural form, selection
selves, plural form, self
sells, simple present, sell
selling, present participle, sell
sold, past participle, sell
sends, simple present, send
sending, present participle, send
sent, past tense, send
seniors, plural form, senior
senses, plural form, sense
sensed, past participle, sense
sensing, present participle, sense
sensitives, plural form, sensitive
sentences, simple present, sentence
sentencing, present participle, sentence
sentenced, past tense, sentence
separates, simple present, separate
separating, present participle, separate
separated, past tense, separate
septembers, plural form, september
sequences, plural form, sequence
sequenced, past participle, sequence
sequencing, present participle, sequence
servants, plural form, servant
serves, simple present, serve
serving, present participle, serve
served, past participle, serve
services, plural form, service
servicing, present participle, service
serviced, past participle, service
sessions, plural form, session
setting, present participle, set
sets, simple present, set
settings, plural form, setting
settles, plural form, settle
settling, present participle, settle
settled, past tense, settle
sevens, plural form, seven
seventeens, plural form, seventeen
seventies, plural form, seventy
sexes, plural form, sex
sexing, present participle, sex
sexed, past participle, sex
shades, simple present, shade
shading, present participle, shade
shaded, past tense, shade
shadows, plural form, shadow
shadowing, present participle, shadow
shadowed, past participle, shadow
shakes, simple present, shake
shaking, present participle, shake
shook, past tense, shake
shaken, past participle, shake
shalt, , shall
shallower, comparative degree, shallow
shallowest, superlative, shallow
shallows, simple present, shallow
shallowing, present participle, shallow
shallowed, past participle, shallow
shamed, past participle, shame
shaming, present participle, shame
shames, simple present, shame
shapes, plural form, shape
shaping, present participle, shape
shaped, past tense, shape
shares, simple present, share
sharing, present participle, share
shared, past tense, share
sharper, comparative degree, sharp
sharpest, superlative, sharp
sharps, plural form, sharp
sheets, plural form, sheet
sheeting, present participle, sheet
sheeted, present participle, sheet
shelves, plural form, shelf
shells, plural form, shell
shelling, present participle, shell
shelled, past participle, shell
shelters, plural form, shelter
sheltered, past tense, shelter
sheltering, present participle, shelter
shifts, simple present, shift
shifting, present participle, shift
shifted, past tense, shift
shone, past participle, shine
shining, present participle, shine
shines, simple present, shine
shined, past tense, shine
shinier, comparative degree, shiny
shiniest, superlative, shiny
ships, simple present, ship
shipping, present participle, ship
shipped, past tense, ship
shirts, plural form, shirt
shocks, plural form, shock
shocked, past participle, shock
shocking, present participle, shock
shoes, plural form, shoe
shoeing, present participle, shoe
shod, past tense, shoe
shoots, simple present, shoot
shooting, present participle, shoot
shot, past participle, shoot
shootings, plural form, shooting
shops, simple present, shop
shopping, present participle, shop
shopped, past tense, shop
shorter, comparative degree, short
shortest, superlative, short
shorts, plural form, short
shorting, present participle, short
shorted, past tense, short
shots, plural form, shot
shoulders, simple present, shoulder
shouldering, present participle, shoulder
shouldered, past tense, shoulder
shouts, simple present, shout
shouting, present participle, shout
shouted, past tense, shout
shows, simple present, show
showing, present participle, show
showed, past tense, show
shown, past participle, show
showers, simple present, shower
showering, present participle, shower
showered, past tense, shower
shuts, simple present, shut
shutting, present participle, shut
shies, simple present, shy
shying, present participle, shy
shied, past participle, shy
shyer, comparative degree, shy
shyest, superlative, shy
sicker, comparative degree, sick
sickest, superlative, sick
sides, plural form, side
siding, present participle, side
sided, past tense, side
sights, simple present, sight
sighting, present participle, sight
sighted, past tense, sight
signs, simple present, sign
signing, present participle, sign
signed, past tense, sign
signals, plural form, signal
signalling, present participle, signal
signalled, past tense, signal
silences, simple present, silence
silencing, present participle, silence
silenced, past tense, silence
silents, plural form, silent
silks, plural form, silk
sillier, comparative degree, silly
silliest, superlative, silly
sillies, plural form, silly
silvers, plural form, silver
silvered, past participle, silver
silvering, present participle, silver
similarities, plural form, similarity
simpler, comparative degree, simple
simplest, superlative, simple
simples, plural form, simple
sincerer, comparative degree, sincere
sincerest, superlative, sincere
sings, simple present, sing
singing, present participle, sing
sang, past tense, sing
sung, past participle, sing
singers, plural form, singer
singles, plural form, single
singling, present participle, single
singled, past tense, single
sinks, plural form, sink
sinking, present participle, sink
sank, past tense, sink
sunk, past participle, sink
sirs, plural form, sir
sisters, plural form, sister
sits, simple present, sit
sitting, present participle, sit
sat, past tense, sit
sites, plural form, site
siting, present participle, site
sited, past participle, site
situations, plural form, situation
sixes, plural form, six
sixteens, plural form, sixteen
sixties, plural form, sixty
sizes, plural form, size
sized, past participle, size
sizing, present participle, size
skis, plural form, ski
skiing, present participle, ski
skied, past tense, ski
skills, plural form, skill
skins, plural form, skin
skinned, past participle, skin
skinning, present participle, skin
skirts, plural form, skirt
skirting, present participle, skirt
skirted, past participle, skirt
skies, plural form, sky
skying, present participle, sky
skied, past participle, sky
slaves, plural form, slave
slaving, present participle, slave
slaved, past participle, slave
sleeping, present participle, sleep
sleeps, simple present, sleep
slept, past tense, sleep
sliced, past tense, slice
slicing, present participle, slice
slices, simple present, slice
slides, plural form, slide
sliding, present participle, slide
slid, past tense, slide
slighter, comparative degree, slight
slightest, superlative, slight
slights, simple present, slight
slighting, present participle, slight
slighted, past participle, slight
slips, plural form, slip
slipping, present participle, slip
slipped, past participle, slip
slopes, plural form, slope
sloping, present participle, slope
sloped, past participle, slope
slows, simple present, slow
slowing, present participle, slow
slowed, past tense, slow
slower, comparative degree, slow
slowest, superlative, slow
smaller, comparative degree, small
smallest, superlative, small
smalls, plural form, small
smarter, comparative degree, smart
smartest, superlative, smart
smarted, past participle, smart
smarting, present participle, smart
smarts, simple present, smart
smells, simple present, smell
smelling, present participle, smell
smelt, past participle, smell
smelled, past tense, smell
smiles, plural form, smile
smiled, past participle, smile
smiling, present participle, smile
smokes, plural form, smoke
smoked, past participle, smoke
smoking, present participle, smoke
smoother, comparative degree, smooth
smoothest, superlative, smooth
smoothed, past participle, smooth
smoothing, present participle, smooth
smoothes, simple present, smooth
snakes, plural form, snake
snaking, present participle, snake
snaked, past tense, snake
snows, plural form, snow
snowing, present participle, snow
snowed, past tense, snow
sos, plural form, so
soaps, plural form, soap
soaped, past tense, soap
soaping, present participle, soap
soccers, simple present, soccer
soccering, present participle, soccer
soccered, past participle, soccer
socials, plural form, social
societies, plural form, society
socks, simple present, sock
socking, present participle, sock
socked, past participle, sock
softer, comparative degree, soft
softest, superlative, soft
softs, plural form, soft
soils, simple present, soil
soiling, present participle, soil
soiled, past tense, soil
soldiers, plural form, soldier
soldiering, present participle, soldier
soldiered, past participle, soldier
solids, plural form, solid
solutions, plural form, solution
solutioned, past participle, solution
solutioning, present participle, solution
solved, past participle, solve
solving, present participle, solve
solves, simple present, solve
sons, plural form, son
songs, plural form, song
sooner, comparative degree, soon
soonest, superlative, soon
sorrier, comparative degree, sorry
sorriest, superlative, sorry
sorts, simple present, sort
sorting, present participle, sort
sorted, past tense, sort
souls, plural form, soul
sounder, comparative degree, sound
soundest, superlative, sound
sounds, simple present, sound
sounding, present participle, sound
sounded, past tense, sound
soups, plural form, soup
sources, plural form, source
sourcing, present participle, source
sourced, past tense, source
spaces, plural form, space
spacing, present participle, space
spaced, past tense, space
spoke, past tense, speak
spoken, past participle, speak
speaking, present participle, speak
speaks, simple present, speak
speakers, plural form, speaker
specials, plural form, special
specialists, plural form, specialist
specifics, plural form, specific
speeches, plural form, speech
speeds, simple present, speed
speeding, present participle, speed
sped, past tense, speed
spelled, past participle, spell
spelling, present participle, spell
spells, simple present, spell
spellings, plural form, spelling
spends, simple present, spend
spending, present participle, spend
spent, past participle, spend
spicier, comparative degree, spicy
spiciest, superlative, spicy
spiders, plural form, spider
spirits, simple present, spirit
spiriting, present participle, spirit
spirited, past tense, spirit
spirituals, plural form, spiritual
splits, plural form, split
splitting, present participle, split
sponsors, plural form, sponsor
sponsoring, present participle, sponsor
sponsored, past tense, sponsor
spoons, plural form, spoon
spooned, past participle, spoon
spooning, present participle, spoon
sports, plural form, sport
sported, past participle, sport
sporting, present participle, sport
spots, plural form, spot
spotting, present participle, spot
spotted, past participle, spot
spreads, plural form, spread
spreading, present participle, spread
springs, plural form, spring
sprang, past tense, spring
sprung, past participle, spring
springing, present participle, spring
squares, plural form, square
squaring, present participle, square
squared, past participle, square
stables, simple present, stable
stabling, present participle, stable
stabled, past tense, stable
stadiums, plural form, stadium
stadia, plural form, stadium
staffs, plural form, staff
staffed, past participle, staff
staffing, present participle, staff
stages, simple present, stage
staging, present participle, stage
staged, past tense, stage
stairs, plural form, stair
stamps, plural form, stamp
stamping, present participle, stamp
stamped, past participle, stamp
stands, plural form, stand
standing, present participle, stand
stood, past tense, stand
standards, plural form, standard
stars, simple present, star
starring, present participle, star
starred, past tense, star
stares, plural form, stare
staring, present participle, stare
stared, past tense, stare
starts, plural form, start
starting, present participle, start
started, past tense, start
states, plural form, state
stating, present participle, state
stated, past tense, state
statements, plural form, statement
statementing, present participle, statement
statemented, past participle, statement
stations, simple present, station
stationing, present participle, station
stationed, past tense, station
statistics, plural form, statistic
statues, plural form, statue
statued, past tense, statue
staueing, present participle, statue
staues, simple present, statue
statuses, plural form, status
stays, simple present, stay
staying, present participle, stay
stayed, past participle, stay
steadier, comparative degree, steady
steadiest, superlative, steady
steadied, past participle, steady
steadying, present participle, steady
steadies, simple present, steady
steals, simple present, steal
stealing, present participle, steal
stole, past tense, steal
stolen, past participle, steal
steels, plural form, steel
steeled, past participle, steel
steeling, present participle, steel
steeps, simple present, steep
steeping, present participle, steep
steeped, past participle, steep
steeper, comparative degree, steep
steepest, superlative, steep
steps, simple present, step
stepping, present participle, step
stepped, past tense, step
stuck, past tense, stick
sticking, present participle, stick
sticks, simple present, stick
stickier, comparative degree, sticky
stickiest, superlative, sticky
stickies, plural form, sticky
stiffs, plural form, stiff
stiffed, past participle, stiff
stiffing, present participle, stiff
stills, plural form, still
stilling, present participle, still
stilled, past tense, still
stocks, plural form, stock
stocked, past tense, stock
stocking, present participle, stock
stomachs, simple present, stomach
stomaching, present participle, stomach
stomached, past tense, stomach
stones, plural form, stone
stoned, past tense, stone
stoning, present participle, stone
stops, plural form, stop
stopping, present participle, stop
stopped, past tense, stop
stores, simple present, store
storing, present participle, store
stored, past tense, store
storms, plural form, storm
storming, present participle, storm
stormed, past tense, storm
stories, plural form, story
storying, present participle, story
storied, past participle, story
straights, plural form, straight
straighter, comparative degree, straight
straightest, superlative, straight
stranger, comparative degree, strange
strangest, superlative, strange
strangers, plural form, stranger
strategies, plural form, strategy
streams, plural form, stream
streamed, past participle, stream
streaming, present participle, stream
streets, plural form, street
strengths, plural form, strength
stresses, plural form, stress
stressed, past participle, stress
stressing, present participle, stress
stretches, plural form, stretch
stretching, present participle, stretch
stretched, past tense, stretch
stricter, comparative degree, strict
strictest, superlative, strict
strikes, simple present, strike
striking, present participle, strike
struck, past tense, strike
strings, simple present, string
stringing, present participle, string
strung, past tense, string
stronger, comparative degree, strong
strongest, superlative, strong
structures, plural form, structure
structured, past participle, structure
structuring, present participle, structure
struggles, plural form, struggle
struggled, past tense, struggle
struggling, present participle, struggle
students, plural form, student
studios, plural form, studio
studies, plural form, study
studying, present participle, study
studied, past tense, study
stuffs, simple present, stuff
stuffing, present participle, stuff
stuffed, past participle, stuff
stupider, comparative degree, stupid
stupidest, superlative, stupid
styles, simple present, style
styling, present participle, style
styled, past tense, style
subjects, plural form, subject
subjecting, present participle, subject
subjected, past participle, subject
submits, simple present, submit
submitting, present participle, submit
submitted, past tense, submit
substances, plural form, substance
succeeds, simple present, succeed
succeeding, present participle, succeed
succeeded, past tense, succeed
successes, plural form, success
suffers, simple present, suffer
suffering, present participle, suffer
suffered, past participle, suffer
sugars, plural form, sugar
sugaring, present participle, sugar
sugared, past participle, sugar
suggests, simple present, suggest
suggesting, present participle, suggest
suggested, past tense, suggest
suggestions, plural form, suggestion
suits, simple present, suit
suiting, present participle, suit
suited, past tense, suit
sums, plural form, sum
summing, present participle, sum
summed, past participle, sum
summarizes, simple present, summarize
summarizing, present participle, summarize
summarized, past tense, summarize
summaries, plural form, summary
summers, plural form, summer
summering, present participle, summer
summered, past participle, summer
suns, simple present, sun
sunning, present participle, sun
sunned, past tense, sun
sundays, plural form, sunday
supermarkets, plural form, supermarket
supplied, past participle, supply
supplying, present participle, supply
supplies, simple present, supply
supports, simple present, support
supporting, present participle, support
supported, past tense, support
supporters, plural form, supporter
supposes, simple present, suppose
supposing, present participle, suppose
supposed, past participle, suppose
surer, comparative degree, sure
surest, superlative, sure
surfaces, plural form, surface
surfaced, past participle, surface
surfacing, present participle, surface
surgeries, plural form, surgery
surprises, simple present, surprise
surprising, present participle, surprise
surprised, past tense, surprise
surrounds, simple present, surround
surrounding, present participle, surround
surrounded, past tense, surround
surveys, simple present, survey
surveying, present participle, survey
surveyed, past tense, survey
survives, simple present, survive
surviving, present participle, survive
survived, past tense, survive
suspects, simple present, suspect
suspecting, present participle, suspect
suspected, past tense, suspect
swears, simple present, swear
swearing, present participle, swear
swore, past tense, swear
sworn, past participle, swear
sweaters, plural form, sweater
sweeps, plural form, sweep
swept, past participle, sweep
sweeping, present participle, sweep
sweets, plural form, sweet
sweeter, comparative degree, sweet
sweetest, superlative, sweet
swims, simple present, swim
swimming, present participle, swim
swam, past tense, swim
swum, past participle, swim
switches, plural form, switch
switched, past participle, switch
switching, present participle, switch
symbols, plural form, symbol
sympathies, plural form, sympathy
symptoms, plural form, symptom
systems, plural form, system
tables, plural form, table
tabling, present participle, table
tabled, past participle, table
tablets, plural form, tablet
tails, plural form, tail
tailed, past participle, tail
tailing, present participle, tail
takes, plural form, take
taking, present participle, take
took, past tense, take
taken, past participle, take
tales, plural form, tale
talents, plural form, talent
talks, simple present, talk
talking, present participle, talk
talked, past tense, talk
taller, comparative degree, tall
tallest, superlative, tall
tanks, simple present, tank
tanking, present participle, tank
tanked, past tense, tank
tapes, plural form, tape
taped, past participle, tape
taping, present participle, tape
targets, simple present, target
targeting, present participle, target
targeted, past tense, target
tasks, plural form, task
tasking, present participle, task
tasked, past participle, task
tastes, plural form, taste
tasted, past participle, taste
tasting, present participle, taste
taxes, plural form, tax
taxed, past participle, tax
taxing, present participle, tax
taxis, plural form, taxi
taxies, simple present, taxi
taxiing, present participle, taxi
taxied, past tense, taxi
teas, plural form, tea
taught, past participle, teach
teaching, present participle, teach
teaches, simple present, teach
teachers, plural form, teacher
teachings, plural form, teaching
teams, simple present, team
teaming, present participle, team
teamed, past tense, team
tears, plural form, tear
teared, past participle, tear
tearing, present participle, tear
technicals, plural form, technical
techniques, plural form, technique
technologies, plural form, technology
teenagers, plural form, teenager
telephones, plural form, telephone
telephoning, present participle, telephone
telephoned, past participle, telephone
televisions, plural form, television
tells, simple present, tell
telling, present participle, tell
told, past tense, tell
temperatures, plural form, temperature
temporaries, plural form, temporary
tens, plural form, ten
tends, simple present, tend
tending, present participle, tend
tended, past participle, tend
tents, plural form, tent
tented, past participle, tent
tenting, present participle, tent
terms, plural form, term
termed, past participle, term
terming, present participle, term
tests, plural form, test
tested, past tense, test
testing, present participle, test
texts, simple present, text
texting, present participle, text
texted, past tense, text
thanks, simple present, thank
thanking, present participle, thank
thanked, past tense, thank
theatres, plural form, theatre
themes, plural form, theme
theming, present participle, theme
themed, past participle, theme
theories, plural form, theory
therapies, plural form, therapy
thicker, comparative degree, thick
thickest, superlative, thick
thieves, plural form, thief
thinner, comparative degree, thin
thinnest, superlative, thin
thinned, past participle, thin
thinning, present participle, thin
thins, simple present, thin
things, plural form, thing
thinks, simple present, think
thinking, present participle, think
thought, past participle, think
thirds, plural form, third
thirstier, comparative degree, thirsty
thirstiest, superlative, thirsty
thirteens, plural form, thirteen
thirties, plural form, thirty
thoughts, plural form, thought
threats, plural form, threat
threatens, simple present, threaten
threatening, present participle, threaten
threatened, past tense, threaten
threes, plural form, three
throats, plural form, throat
throated, past participle, throat
throating, present participle, throat
throws, simple present, throw
throwing, present participle, throw
threw, past tense, throw
thrown, past participle, throw
thursdays, plural form, thursday
tickets, plural form, ticket
ticketing, present participle, ticket
ticketed, past tense, ticket
tidies, simple present, tidy
tidying, present participle, tidy
tidied, past tense, tidy
tidier, comparative degree, tidy
tidiest, superlative, tidy
ties, plural form, tie
tied, past participle, tie
tying, present participle, tie
tighter, comparative degree, tight
tightest, superlative, tight
tills, simple present, till
tilling, present participle, till
tilled, past tense, till
times, plural form, time
timing, present participle, time
timed, past tense, time
tins, plural form, tin
tinning, present participle, tin
tinned, past participle, tin
tinier, comparative degree, tiny
tiniest, superlative, tiny
tinies, plural form, tiny
tips, plural form, tip
tipping, present participle, tip
tipped, past tense, tip
tires, simple present, tired
tiring, present participle, tired
tired, past tense, tired
titles, plural form, title
titling, present participle, title
titled, past participle, title
toes, plural form, toe
toeing, present participle, toe
toed, past tense, toe
toilets, plural form, toilet
tomatoes, plural form, tomato
tomorrows, plural form, tomorrow
tones, plural form, tone
toned, past participle, tone
toning, present participle, tone
tongues, plural form, tongue
tonguing, present participle, tongue
tongued, past tense, tongue
tools, simple present, tool
tooling, present participle, tool
tooled, past tense, tool
teeth, plural form, tooth
tooths, simple present, tooth
toothing, present participle, tooth
toothed, past participle, tooth
tops, plural form, top
topping, present participle, top
topped, past tense, top
topics, plural form, topic
totals, simple present, total
totalling, present participle, total
totalled, past tense, total
touches, simple present, touch
touching, present participle, touch
touched, past tense, touch
tougher, comparative degree, tough
toughest, superlative, tough
toughs, plural form, tough
tours, simple present, tour
touring, present participle, tour
toured, past tense, tour
tourists, plural form, tourist
towels, simple present, towel
towelling, present participle, towel
towelled, past tense, towel
toweled, past participle, towel
toweling, present participle, towel
towers, plural form, tower
towering, present participle, tower
towered, past tense, tower
towns, plural form, town
toys, plural form, toy
tracks, simple present, track
tracking, present participle, track
tracked, past tense, track
trades, plural form, trade
traded, past participle, trade
trading, present participle, trade
traditions, plural form, tradition
traffics, simple present, traffic
trafficking, present participle, traffic
trafficked, past participle, traffic
trains, plural form, train
trained, past participle, train
training, present participle, train
trainers, plural form, trainer
transferred, past tense, transfer
transferring, present participle, transfer
transfers, simple present, transfer
transforms, simple present, transform
transforming, present participle, transform
transformed, past tense, transform
transitions, plural form, transition
transitioned, past participle, transition
transitioning, present participle, transition
translates, simple present, translate
translating, present participle, translate
translated, past participle, translate
translations, plural form, translation
transports, simple present, transport
transporting, present participle, transport
transported, past participle, transport
travels, plural form, travel
travelled, past tense, travel
traveled, past tense, travel
travelling, present participle, travel
traveling, present participle, travel
travellers, plural form, traveller
treats, plural form, treat
treated, past participle, treat
treating, present participle, treat
treatments, plural form, treatment
trees, plural form, tree
treed, past participle, tree
treeing, present participle, tree
trends, plural form, trend
trended, past participle, trend
trending, present participle, trend
trials, simple present, trial
trialling, present participle, trial
trialled, past tense, trial
tricks, simple present, trick
tricking, present participle, trick
tricked, past tense, trick
trips, plural form, trip
tripping, present participle, trip
tripped, past tense, trip
troubles, plural form, trouble
troubling, present participle, trouble
troubled, past participle, trouble
trucks, plural form, truck
trucking, present participle, truck
trucked, past tense, truck
truer, comparative degree, true
truest, superlative, true
trued, past participle, true
truing, present participle, true
trues, simple present, true
trusts, plural form, trust
trusting, present participle, trust
trusted, past participle, trust
truths, plural form, truth
tries, simple present, try
trying, present participle, try
tried, past tense, try
t-shirts, plural form, t-shirt
tubes, plural form, tube
tubing, present participle, tube
tubed, past participle, tube
tuesdays, plural form, tuesday
tunes, simple present, tune
tuning, present participle, tune
tuned, past tense, tune
tunnels, plural form, tunnel
tunnelling, present participle, tunnel
tunnelled, past participle, tunnel
turns, simple present, turn
turning, present participle, turn
turned, past participle, turn
tvs, plural form, tv
twelves, plural form, twelve
twenties, plural form, twenty
twins, plural form, twin
twinning, present participle, twin
twinned, past tense, twin
twos, plural form, two
types, plural form, type
typing, present participle, type
typed, past tense, type
tyres, plural form, tyre
uglier, comparative degree, ugly
ugliest, superlative, ugly
umbrellas, plural form, umbrella
uncles, plural form, uncle
undergrounds, plural form, underground
understood, past participle, understand
understanding, present participle, understand
understands, simple present, understand
understandings, plural form, understanding
unhappier, comparative degree, unhappy
unhappiest, superlative, unhappy
uniforms, plural form, uniform
uniformed, past participle, uniform
uniforming, present participle, uniform
unions, plural form, union
units, plural form, unit
universities, plural form, university
unknowns, plural form, unknown
unlikelier, comparative degree, unlikely
unlikeliest, superlative, unlikely
ups, plural form, up
upping, present participle, up
upped, past participle, up
updates, plural form, update
updating, present participle, update
updated, past tense, update
uppers, plural form, upper
upsets, plural form, upset
upsetting, present participle, upset
urges, simple present, urge
urging, present participle, urge
urged, past participle, urge
uses, simple present, use
using, present participle, use
used, past participle, use
users, plural form, user
vacations, plural form, vacation
vacationing, present participle, vacation
vacationed, past tense, vacation
valleys, plural form, valley
valuables, plural form, valuable
values, plural form, value
valued, past participle, value
valuing, present participle, value
vans, plural form, van
vanned, past participle, van
vanning, present participle, van
varieties, plural form, variety
varies, simple present, vary
varying, present participle, vary
varied, past participle, vary
vaster, comparative degree, vast
vastest, superlative, vast
vegetables, plural form, vegetable
vehicles, plural form, vehicle
venues, plural form, venue
versions, plural form, version
versioned, past participle, version
versioning, present participle, version
victims, plural form, victim
victories, plural form, victory
videos, plural form, video
videoing, present participle, video
videoed, past tense, video
views, simple present, view
viewing, present participle, view
viewed, past tense, view
viewers, plural form, viewer
villages, plural form, village
viruses, plural form, virus
visions, plural form, vision
visits, simple present, visit
visiting, present participle, visit
visited, past tense, visit
visitors, plural form, visitor
visuals, plural form, visual
vitamins, plural form, vitamin
voices, simple present, voice
voicing, present participle, voice
voiced, past tense, voice
volumes, plural form, volume
volunteers, plural form, volunteer
volunteered, past participle, volunteer
volunteering, present participle, volunteer
votes, plural form, vote
voted, past participle, vote
voting, present participle, vote
wages, plural form, wage
waging, present participle, wage
waged, past tense, wage
waits, simple present, wait
waiting, present participle, wait
waited, past participle, wait
waiters, plural form, waiter
wakes, plural form, wake
waking, present participle, wake
woke, past tense, wake
woken, past participle, wake
walks, plural form, walk
walking, present participle, walk
walked, past tense, walk
walls, plural form, wall
walling, present participle, wall
walled, past participle, wall
wants, plural form, want
wanted, past participle, want
wanting, present participle, want
wars, plural form, war
warred, past participle, war
warring, present participle, war
warms, simple present, warm
warming, present participle, warm
warmed, past tense, warm
warmer, comparative degree, warm
warmest, superlative, warm
warned, past participle, warn
warning, present participle, warn
warns, simple present, warn
warnings, plural form, warning
washes, simple present, wash
washing, present participle, wash
washed, past tense, wash
washings, plural form, washing
wastes, simple present, waste
wasting, present participle, waste
wasted, past tense, waste
watches, simple present, watch
watching, present participle, watch
watched, past tense, watch
waters, plural form, water
watered, past participle, water
watering, present participle, water
waves, simple present, wave
waving, present participle, wave
waved, past tense, wave
